Jun 05 00:59:54.620 [info] circuit_build_times_set_timeout(): Based on 1000 circuit times, it looks like we don't need to wait so long for circuits to finish. We will now assume a circuit is too slow to use after waiting 5249 milliseconds.
Jun 05 00:59:54.620 [info] circuit_build_times_set_timeout(): Circuit timeout data: 5248.698522ms, 87727.390158ms, Xm: 1156, a: 1.063729, r: 0.231000
Jun 05 00:59:57.548 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5243ms (5242.782300ms, 87444.743499ms, Xm: 1156, a: 1.064523, r: 0.233000) based on 1000 circuit times
Jun 05 00:59:57.899 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5235ms (5235.030529ms, 87075.301296ms, Xm: 1156, a: 1.065566, r: 0.233000) based on 1000 circuit times
Jun 05 01:00:01.072 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5227ms (5226.759151ms, 86682.216461ms, Xm: 1156, a: 1.066682, r: 0.233000) based on 1000 circuit times
Jun 05 01:00:01.945 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5223ms (5223.465878ms, 86526.030503ms, Xm: 1156, a: 1.067128, r: 0.235000) based on 1000 circuit times
Jun 05 01:00:02.758 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5228ms (5228.004230ms, 86741.313025ms, Xm: 1156, a: 1.066514, r: 0.233000) based on 1000 circuit times
Jun 05 01:00:02.894 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5234ms (5234.277920ms, 87039.486865ms, Xm: 1156, a: 1.065667, r: 0.233000) based on 1000 circuit times
Jun 05 01:00:02.994 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5263ms (5263.304423ms, 92100.596076ms, Xm: 1131, a: 1.046682, r: 0.229000) based on 1000 circuit times
Jun 05 01:00:03.141 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5263ms (5263.304423ms, 92100.596076ms, Xm: 1131, a: 1.046682, r: 0.229000) based on 1000 circuit times
Jun 05 01:00:03.369 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5278ms (5278.401968ms, 92858.546061ms, Xm: 1131, a: 1.044736, r: 0.230000) based on 1000 circuit times
Jun 05 01:00:03.460 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5266ms (5266.008725ms, 92236.064595ms, Xm: 1131, a: 1.046333, r: 0.230000) based on 1000 circuit times
Jun 05 01:00:03.539 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5264ms (5264.000325ms, 92135.444000ms, Xm: 1131, a: 1.046592, r: 0.230000) based on 1000 circuit times
Jun 05 01:00:03.642 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5263ms (5262.894063ms, 92080.050975ms, Xm: 1131, a: 1.046735, r: 0.230000) based on 1000 circuit times
Jun 05 01:00:03.871 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5250ms (5249.826902ms, 91427.387005ms, Xm: 1131, a: 1.048430, r: 0.231000) based on 1000 circuit times
Jun 05 01:00:04.322 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5252ms (5251.797597ms, 91525.623729ms, Xm: 1131, a: 1.048174, r: 0.231000) based on 1000 circuit times
Jun 05 01:00:05.020 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5255ms (5254.810197ms, 91675.930826ms, Xm: 1131, a: 1.047783, r: 0.231000) based on 1000 circuit times
Jun 05 01:00:06.295 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5262ms (5262.304828ms, 92050.555453ms, Xm: 1131, a: 1.046811, r: 0.231000) based on 1000 circuit times
Jun 05 01:00:07.136 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5246ms (5245.655395ms, 91219.668825ms, Xm: 1131, a: 1.048973, r: 0.231000) based on 1000 circuit times
Jun 05 01:00:21.004 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5258ms (5257.953669ms, 91832.938580ms, Xm: 1131, a: 1.047375, r: 0.231000) based on 1000 circuit times
Jun 05 01:00:33.853 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5256ms (5256.300971ms, 91750.369089ms, Xm: 1131, a: 1.047589, r: 0.231000) based on 1000 circuit times
Jun 05 01:00:34.519 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5263ms (5263.389186ms, 92104.840200ms, Xm: 1131, a: 1.046671, r: 0.231000) based on 1000 circuit times
Jun 05 01:00:52.892 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5278ms (5278.106317ms, 94234.666950ms, Xm: 1122, a: 1.039383, r: 0.231000) based on 1000 circuit times
Jun 05 01:00:54.312 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5284ms (5284.240564ms, 94705.433909ms, Xm: 1121, a: 1.038007, r: 0.231000) based on 1000 circuit times
Jun 05 01:01:00.022 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5273ms (5273.041376ms, 94132.250808ms, Xm: 1121, a: 1.039429, r: 0.231000) based on 1000 circuit times
Jun 05 01:01:00.471 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5271ms (5271.335704ms, 93889.194501ms, Xm: 1122, a: 1.040246, r: 0.231000) based on 1000 circuit times
Jun 05 01:01:03.200 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5261ms (5261.190466ms, 92450.723623ms, Xm: 1128, a: 1.045150, r: 0.231000) based on 1000 circuit times
Jun 05 01:01:03.757 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5249ms (5249.497330ms, 91864.004728ms, Xm: 1128, a: 1.046662, r: 0.232000) based on 1000 circuit times
Jun 05 01:01:20.997 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5239ms (5239.072007ms, 91342.947218ms, Xm: 1128, a: 1.048017, r: 0.234000) based on 1000 circuit times
Jun 05 01:01:25.585 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5240ms (5240.072747ms, 91392.880569ms, Xm: 1128, a: 1.047887, r: 0.234000) based on 1000 circuit times
Jun 05 01:01:26.212 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5249ms (5248.560224ms, 91817.089286ms, Xm: 1128, a: 1.046784, r: 0.233000) based on 1000 circuit times
Jun 05 01:01:28.522 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5245ms (5244.601742ms, 91619.083184ms, Xm: 1128, a: 1.047298, r: 0.235000) based on 1000 circuit times
Jun 05 01:01:31.614 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5240ms (5239.561120ms, 91367.350010ms, Xm: 1128, a: 1.047953, r: 0.235000) based on 1000 circuit times
Jun 05 01:01:32.808 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5241ms (5240.878208ms, 91433.083080ms, Xm: 1128, a: 1.047782, r: 0.235000) based on 1000 circuit times
Jun 05 01:01:33.479 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5241ms (5240.988214ms, 91438.574625ms, Xm: 1128, a: 1.047768, r: 0.235000) based on 1000 circuit times
Jun 05 01:01:34.423 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5243ms (5242.948702ms, 92143.748984ms, Xm: 1124, a: 1.045096, r: 0.235000) based on 1000 circuit times
Jun 05 01:01:34.595 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5229ms (5228.799335ms, 91433.995718ms, Xm: 1124, a: 1.046933, r: 0.234000) based on 1000 circuit times
Jun 05 01:01:36.595 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5227ms (5226.967259ms, 91342.356986ms, Xm: 1124, a: 1.047172, r: 0.234000) based on 1000 circuit times
Jun 05 01:01:37.793 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5242ms (5241.772420ms, 92237.296016ms, Xm: 1123, a: 1.044645, r: 0.235000) based on 1000 circuit times
Jun 05 01:01:43.070 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5251ms (5251.271088ms, 92716.361368ms, Xm: 1123, a: 1.043418, r: 0.234000) based on 1000 circuit times
Jun 05 01:01:44.417 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5251ms (5250.839763ms, 92694.572475ms, Xm: 1123, a: 1.043474, r: 0.234000) based on 1000 circuit times
Jun 05 01:01:45.356 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5251ms (5250.839763ms, 92694.572475ms, Xm: 1123, a: 1.043474, r: 0.234000) based on 1000 circuit times
Jun 05 01:01:46.026 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5238ms (5238.005990ms, 92047.782874ms, Xm: 1123, a: 1.045132, r: 0.236000) based on 1000 circuit times
Jun 05 01:01:48.571 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5249ms (5248.926688ms, 92597.971474ms, Xm: 1123, a: 1.043721, r: 0.234000) based on 1000 circuit times
