Jun 04 13:55:11.027 [info] circuit_build_times_set_timeout(): Based on 1000 circuit times, it looks like we don't need to wait so long for circuits to finish. We will now assume a circuit is too slow to use after waiting 2267 milliseconds.
Jun 04 13:55:11.027 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2267.452738ms, 60000.000000ms, Xm: 686, a: 1.346208, r: 0.258000
Jun 04 13:55:13.676 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 2285ms (2284.743052ms, 60000.000000ms, Xm: 667, a: 1.307191, r: 0.257000) based on 1000 circuit times
Jun 04 13:55:14.044 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 2286ms (2286.422085ms, 60000.000000ms, Xm: 666, a: 1.304822, r: 0.257000) based on 1000 circuit times
Jun 04 13:55:14.197 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 2288ms (2288.139521ms, 60000.000000ms, Xm: 666, a: 1.304028, r: 0.257000) based on 1000 circuit times
Jun 04 13:55:14.773 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 2291ms (2291.489463ms, 60000.000000ms, Xm: 666, a: 1.302484, r: 0.257000) based on 1000 circuit times
Jun 04 13:55:14.864 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 2287ms (2286.568469ms, 60000.000000ms, Xm: 672, a: 1.314311, r: 0.257000) based on 1000 circuit times
Jun 04 13:55:15.346 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 2269ms (2269.471080ms, 60000.000000ms, Xm: 692, a: 1.355070, r: 0.258000) based on 1000 circuit times
Jun 04 13:55:15.441 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 2268ms (2268.385303ms, 60000.000000ms, Xm: 692, a: 1.355616, r: 0.258000) based on 1000 circuit times
Jun 04 13:55:15.591 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 2268ms (2268.347404ms, 60000.000000ms, Xm: 692, a: 1.355635, r: 0.258000) based on 1000 circuit times
Jun 04 13:55:16.589 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 2271ms (2271.272931ms, 60000.000000ms, Xm: 692, a: 1.354165, r: 0.259000) based on 1000 circuit times
Jun 04 13:55:16.680 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 2270ms (2270.464215ms, 60000.000000ms, Xm: 692, a: 1.354571, r: 0.259000) based on 1000 circuit times
Jun 04 13:55:16.884 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 2272ms (2271.786867ms, 60000.000000ms, Xm: 692, a: 1.353907, r: 0.259000) based on 1000 circuit times
Jun 04 13:55:19.470 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 2271ms (2271.113310ms, 60000.000000ms, Xm: 692, a: 1.354245, r: 0.259000) based on 1000 circuit times
