Jun 05 04:22:45.474 [info] circuit_build_times_set_timeout(): Based on 1000 circuit times, it looks like we don't need to wait so long for circuits to finish. We will now assume a circuit is too slow to use after waiting 4617 milliseconds.
Jun 05 04:22:45.474 [info] circuit_build_times_set_timeout(): Circuit timeout data: 4616.730864ms, 84078.563505ms, Xm: 971, a: 1.032276, r: 0.330000
Jun 05 04:22:48.072 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 4600ms (4600.462365ms, 83233.587320ms, Xm: 971, a: 1.034619, r: 0.334000) based on 1000 circuit times
Jun 05 04:22:48.139 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 4599ms (4599.214628ms, 83169.009668ms, Xm: 971, a: 1.034799, r: 0.334000) based on 1000 circuit times
Jun 05 04:22:48.267 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 4646ms (4646.327465ms, 91322.350494ms, Xm: 938, a: 1.005847, r: 0.328000) based on 1000 circuit times
Jun 05 04:22:48.372 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 4646ms (4646.327465ms, 91322.350494ms, Xm: 938, a: 1.005847, r: 0.328000) based on 1000 circuit times
Jun 05 04:22:48.670 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 4643ms (4643.347473ms, 91154.858301ms, Xm: 938, a: 1.006250, r: 0.328000) based on 1000 circuit times
Jun 05 04:22:50.024 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 4637ms (4636.628146ms, 90777.928162ms, Xm: 938, a: 1.007162, r: 0.327000) based on 1000 circuit times
Jun 05 04:22:50.024 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 4643ms (4643.435056ms, 91159.778117ms, Xm: 938, a: 1.006238, r: 0.327000) based on 1000 circuit times
Jun 05 04:22:50.440 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 4635ms (4635.449936ms, 90711.939508ms, Xm: 938, a: 1.007322, r: 0.326000) based on 1000 circuit times
Jun 05 04:22:50.743 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 4633ms (4633.476540ms, 90601.484325ms, Xm: 938, a: 1.007591, r: 0.326000) based on 1000 circuit times
Jun 05 04:22:52.227 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 4624ms (4624.490290ms, 90099.610933ms, Xm: 938, a: 1.008817, r: 0.327000) based on 1000 circuit times
Jun 05 04:22:52.896 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 4613ms (4613.159421ms, 89469.375339ms, Xm: 938, a: 1.010371, r: 0.328000) based on 1000 circuit times
Jun 05 04:22:54.668 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 4607ms (4606.939302ms, 89124.627924ms, Xm: 938, a: 1.011227, r: 0.327000) based on 1000 circuit times
Jun 05 04:22:54.762 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 4598ms (4598.177452ms, 88640.473950ms, Xm: 938, a: 1.012438, r: 0.330000) based on 1000 circuit times
Jun 05 04:23:14.846 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 4600ms (4600.266868ms, 88755.773150ms, Xm: 938, a: 1.012149, r: 0.330000) based on 1000 circuit times
Jun 05 04:23:20.206 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 4603ms (4602.761095ms, 88893.538553ms, Xm: 938, a: 1.011804, r: 0.330000) based on 1000 circuit times
Jun 05 04:23:20.207 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 4595ms (4595.277575ms, 88480.612969ms, Xm: 938, a: 1.012840, r: 0.329000) based on 1000 circuit times
Jun 05 04:23:21.553 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 4606ms (4606.416881ms, 89095.712414ms, Xm: 938, a: 1.011299, r: 0.326000) based on 1000 circuit times
Jun 05 04:23:21.645 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 4605ms (4605.174977ms, 89026.998559ms, Xm: 938, a: 1.011471, r: 0.326000) based on 1000 circuit times
Jun 05 04:23:22.125 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 4596ms (4595.825538ms, 88510.806037ms, Xm: 938, a: 1.012764, r: 0.330000) based on 1000 circuit times
Jun 05 04:23:22.280 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 4597ms (4596.778894ms, 88563.352427ms, Xm: 938, a: 1.012632, r: 0.330000) based on 1000 circuit times
Jun 05 04:23:26.749 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 4609ms (4608.669827ms, 89220.454583ms, Xm: 938, a: 1.010989, r: 0.327000) based on 1000 circuit times
Jun 05 04:23:27.219 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 4598ms (4598.011529ms, 88631.322075ms, Xm: 938, a: 1.012461, r: 0.331000) based on 1000 circuit times
Jun 05 04:23:31.498 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 4587ms (4586.811940ms, 88015.002753ms, Xm: 938, a: 1.014017, r: 0.333000) based on 1000 circuit times
Jun 05 04:23:41.227 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 4584ms (4583.813120ms, 87850.450650ms, Xm: 938, a: 1.014435, r: 0.335000) based on 1000 circuit times
Jun 05 04:24:00.388 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 4585ms (4584.848393ms, 87907.235788ms, Xm: 938, a: 1.014290, r: 0.335000) based on 1000 circuit times
Jun 05 04:24:00.803 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 4586ms (4585.595361ms, 87948.222118ms, Xm: 938, a: 1.014186, r: 0.333000) based on 1000 circuit times
Jun 05 04:24:27.223 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 4572ms (4572.206003ms, 87215.428375ms, Xm: 938, a: 1.016059, r: 0.335000) based on 1000 circuit times
Jun 05 04:24:27.236 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 4575ms (4574.768156ms, 89294.640126ms, Xm: 927, a: 1.008194, r: 0.334000) based on 1000 circuit times
Jun 05 04:25:05.792 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 4564ms (4563.874504ms, 88687.570657ms, Xm: 927, a: 1.009702, r: 0.334000) based on 1000 circuit times
Jun 05 04:25:52.476 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 4550ms (4550.286698ms, 87934.135545ms, Xm: 927, a: 1.011594, r: 0.333000) based on 1000 circuit times
Jun 05 04:25:58.358 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 4553ms (4552.608054ms, 88062.557189ms, Xm: 927, a: 1.011270, r: 0.333000) based on 1000 circuit times
Jun 05 04:26:03.266 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 4543ms (4543.449607ms, 87556.603311ms, Xm: 927, a: 1.012551, r: 0.333000) based on 1000 circuit times
Jun 05 04:26:08.949 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 4548ms (4547.791254ms, 87796.219005ms, Xm: 927, a: 1.011943, r: 0.332000) based on 1000 circuit times
Jun 05 04:26:09.944 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 4558ms (4557.657200ms, 88342.306213ms, Xm: 927, a: 1.010566, r: 0.332000) based on 1000 circuit times
Jun 05 04:26:15.087 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 4567ms (4566.526626ms, 88835.117138ms, Xm: 927, a: 1.009334, r: 0.331000) based on 1000 circuit times
