Jun 05 14:24:00.477 [info] circuit_build_times_set_timeout(): Based on 1000 circuit times, it looks like we don't need to wait so long for circuits to finish. We will now assume a circuit is too slow to use after waiting 6015 milliseconds.
Jun 05 14:24:00.477 [info] circuit_build_times_set_timeout(): Circuit timeout data: 6015.382339ms, 287789.765074ms, Xm: 753, a: 0.774509, r: 0.216000
Jun 05 14:24:03.717 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 6006ms (6005.818671ms, 286482.495260ms, Xm: 753, a: 0.775103, r: 0.217000) based on 1000 circuit times
Jun 05 14:24:04.817 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5836ms (5835.980928ms, 229335.062896ms, Xm: 812, a: 0.816022, r: 0.232000) based on 1000 circuit times
Jun 05 14:24:04.960 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5844ms (5843.775589ms, 230212.598999ms, Xm: 812, a: 0.815470, r: 0.232000) based on 1000 circuit times
Jun 05 14:24:05.055 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5845ms (5845.380021ms, 230393.499275ms, Xm: 812, a: 0.815357, r: 0.231000) based on 1000 circuit times
Jun 05 14:24:05.615 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5837ms (5836.735661ms, 229419.936677ms, Xm: 812, a: 0.815968, r: 0.232000) based on 1000 circuit times
Jun 05 14:24:07.013 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5853ms (5852.634775ms, 231212.629845ms, Xm: 812, a: 0.814845, r: 0.231000) based on 1000 circuit times
Jun 05 14:24:08.070 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5849ms (5848.654888ms, 230763.028669ms, Xm: 812, a: 0.815125, r: 0.230000) based on 1000 circuit times
Jun 05 14:24:08.656 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5837ms (5836.800546ms, 229427.234283ms, Xm: 812, a: 0.815964, r: 0.231000) based on 1000 circuit times
Jun 05 14:24:08.801 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5838ms (5838.248941ms, 229590.174740ms, Xm: 812, a: 0.815861, r: 0.231000) based on 1000 circuit times
Jun 05 14:24:10.552 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 5839ms (5839.371805ms, 229716.545621ms, Xm: 812, a: 0.815782, r: 0.231000) based on 1000 circuit times
