Jun 10 04:37:49.689 [info] circuit_build_times_set_timeout(): Based on 1000 circuit times, it looks like we don't need to wait so long for circuits to finish. We will now assume a circuit is too slow to use after waiting 2462 milliseconds.
Jun 10 04:37:49.689 [info] circuit_build_times_set_timeout(): Circuit timeout data: 2462.483681ms, 60000.000000ms, Xm: 836, a: 1.489810, r: 0.300000
Jun 10 04:37:52.295 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 2459ms (2459.138918ms, 60000.000000ms, Xm: 836, a: 1.491687, r: 0.300000) based on 1000 circuit times
Jun 10 04:37:52.378 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 2455ms (2455.017655ms, 60000.000000ms, Xm: 836, a: 1.494010, r: 0.300000) based on 1000 circuit times
Jun 10 04:37:52.548 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 2454ms (2454.482544ms, 60000.000000ms, Xm: 838, a: 1.497635, r: 0.300000) based on 1000 circuit times
Jun 10 04:37:52.554 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 2453ms (2453.355255ms, 60000.000000ms, Xm: 838, a: 1.498275, r: 0.300000) based on 1000 circuit times
Jun 10 04:37:52.740 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 2454ms (2453.543355ms, 60000.000000ms, Xm: 839, a: 1.499833, r: 0.300000) based on 1000 circuit times
Jun 10 04:37:52.844 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 2454ms (2454.151067ms, 60000.000000ms, Xm: 840, a: 1.501153, r: 0.300000) based on 1000 circuit times
Jun 10 04:37:53.086 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 2456ms (2456.073693ms, 60000.000000ms, Xm: 840, a: 1.500058, r: 0.300000) based on 1000 circuit times
Jun 10 04:37:53.630 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 2458ms (2457.868409ms, 60000.000000ms, Xm: 840, a: 1.499037, r: 0.300000) based on 1000 circuit times
Jun 10 04:37:54.839 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 2455ms (2455.461951ms, 60000.000000ms, Xm: 840, a: 1.500406, r: 0.300000) based on 1000 circuit times
Jun 10 04:37:57.910 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 2452ms (2452.082194ms, 60000.000000ms, Xm: 840, a: 1.502335, r: 0.300000) based on 1000 circuit times
Jun 10 04:37:58.358 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 2452ms (2451.645783ms, 60000.000000ms, Xm: 841, a: 1.504256, r: 0.300000) based on 1000 circuit times
Jun 10 04:37:59.344 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 2452ms (2452.297710ms, 60000.000000ms, Xm: 841, a: 1.503882, r: 0.300000) based on 1000 circuit times
Jun 10 04:38:00.944 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 2450ms (2450.016297ms, 60000.000000ms, Xm: 841, a: 1.505191, r: 0.300000) based on 1000 circuit times
Jun 10 04:38:01.376 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 2455ms (2455.388068ms, 60000.000000ms, Xm: 841, a: 1.502114, r: 0.301000) based on 1000 circuit times
Jun 10 04:38:02.981 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 2455ms (2455.455625ms, 60000.000000ms, Xm: 839, a: 1.498745, r: 0.301000) based on 1000 circuit times
Jun 10 04:38:03.468 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 2466ms (2465.610437ms, 60000.000000ms, Xm: 839, a: 1.493007, r: 0.301000) based on 1000 circuit times
Jun 10 04:38:15.129 [info] circuit_build_times_set_timeout(): Set circuit build timeout to 2458ms (2458.406414ms, 60000.000000ms, Xm: 839, a: 1.497071, r: 0.301000) based on 1000 circuit times
